Afstemningsområde	Opstillingskreds	Storkreds	Landsdel	Filnavn	Stemmeberettigede	IAltGyldigeStemmer	BlankeStemmer	AndreUgyldigeStemmer	IAltAfgivneStemmer	A	B	C	F	I	K	O	V	Ø	Å	UdenForParti
"Uvelse"	"3. Hillerød"	"Nordsjællands Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494832.xml"	977	909	5	1	915	176	31	25	27	90	8	214	241	56	41	0
"Hørsholm"	"2. Fredensborg"	"Nordsjællands Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494814.xml"	4697	4158	30	8	4196	624	306	409	105	717	13	610	1107	138	128	1
"Usserød"	"2. Fredensborg"	"Nordsjællands Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494815.xml"	4826	4339	18	9	4366	780	298	475	105	677	9	690	1059	130	116	0
"Rungsted"	"2. Fredensborg"	"Nordsjællands Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494816.xml"	3269	3072	16	2	3090	258	209	345	25	945	5	204	975	37	69	0
"Grønnegade"	"2. Fredensborg"	"Nordsjællands Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494817.xml"	324	306	0	1	307	36	18	48	2	64	2	36	83	8	9	0
"Vallerød"	"2. Fredensborg"	"Nordsjællands Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494818.xml"	5031	4417	23	14	4454	686	288	449	75	859	9	634	1155	139	122	1
"Birkerød"	"6. Rudersdal"	"Nordsjællands Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494876.xml"	4860	4318	31	13	4362	908	434	288	202	556	11	553	881	250	234	1
"Ny Holte"	"6. Rudersdal"	"Nordsjællands Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494877.xml"	4767	4338	16	13	4367	625	451	344	112	996	16	389	1063	140	201	1
"Nærum"	"6. Rudersdal"	"Nordsjællands Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494878.xml"	3812	3343	25	13	3381	761	238	204	109	411	10	537	725	198	150	0
"Sjælsø"	"6. Rudersdal"	"Nordsjællands Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494879.xml"	5234	4653	28	13	4694	836	504	364	145	809	11	483	956	264	278	3
"Skovly"	"6. Rudersdal"	"Nordsjællands Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494880.xml"	2471	2284	16	6	2306	321	240	195	50	507	5	176	601	77	112	0
"Toftevang"	"6. Rudersdal"	"Nordsjællands Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494881.xml"	5675	5075	32	19	5126	967	575	346	198	710	16	577	1036	369	278	3
"Trørød"	"6. Rudersdal"	"Nordsjællands Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494882.xml"	3920	3537	23	5	3565	541	282	275	100	724	13	407	920	153	120	2
"Vangebo"	"6. Rudersdal"	"Nordsjællands Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494883.xml"	2930	2656	15	8	2679	292	232	233	71	665	8	177	769	82	127	0
"Vedbæk"	"6. Rudersdal"	"Nordsjællands Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494884.xml"	5318	4861	20	10	4891	550	371	442	62	1247	15	510	1355	144	162	3
"Ledøje Forsamlingshus"	"5. Egedal"	"Nordsjællands Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494862.xml"	865	765	5	3	773	171	37	45	35	101	0	140	155	41	39	1
"Ledøje-Smørum Idrætscenter"	"5. Egedal"	"Nordsjællands Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494863.xml"	7126	6508	40	18	6566	1673	353	310	236	730	22	1381	1305	311	186	1
"Stenløse"	"5. Egedal"	"Nordsjællands Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494864.xml"	4650	4115	24	16	4155	1036	191	174	109	382	9	936	936	208	132	2
"Veksø"	"5. Egedal"	"Nordsjællands Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494865.xml"	1459	1318	8	4	1330	322	104	40	55	107	6	295	237	86	66	0
"Ganløse"	"5. Egedal"	"Nordsjællands Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494866.xml"	2549	2346	19	3	2368	473	178	116	102	281	11	363	550	141	131	0
"Slagslunde"	"5. Egedal"	"Nordsjællands Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494867.xml"	1215	1118	13	2	1133	246	59	38	41	99	7	222	217	100	89	0
"Toftehøjskolen"	"5. Egedal"	"Nordsjællands Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494868.xml"	4869	4319	29	14	4362	1115	177	171	132	370	13	1055	988	174	119	5
"Stengårdsskolen"	"5. Egedal"	"Nordsjællands Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494869.xml"	4539	4027	33	11	4071	1045	159	128	140	336	12	1002	949	170	86	0
"Bækkegårdsskolen"	"5. Egedal"	"Nordsjællands Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494870.xml"	3061	2751	13	6	2770	697	122	91	109	292	9	632	618	120	61	0
"Frederikssund Syd"	"4. Frederikssund"	"Nordsjællands Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494845.xml"	8517	7364	57	26	7447	1827	309	288	337	599	31	1589	1703	412	265	4
"Frederikssund Nord"	"4. Frederikssund"	"Nordsjællands Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494846.xml"	6295	5322	41	23	5386	1404	229	143	226	365	34	1240	1156	372	152	1
"Slangerup"	"4. Frederikssund"	"Nordsjællands Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494847.xml"	5871	5169	40	22	5231	1218	230	155	177	448	14	1220	1263	263	177	4
"Skibby"	"4. Frederikssund"	"Nordsjællands Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494848.xml"	6521	5519	43	14	5576	1328	124	133	236	337	11	1581	1099	419	247	4
"Jægerspris"	"4. Frederikssund"	"Nordsjællands Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494849.xml"	6289	5333	32	24	5389	1474	173	153	245	278	15	1387	937	453	215	3
